단계,분류 및 학습주제,,,,,,,,,,,,
입문,자음 - 1,자음 - 2,자음 - 3,모음 - 1,모음 - 2,받침 기초,,,,,,,
,ㄱ 소리,ㄹ 소리,ㅇ 소리,ㅏ / ㅓ,ㅑ / ㅕ,ㄱ 받침,,,,,,,
,ㄴ 소리,ㅁ 소리,ㅈ 소리,ㅗ / ㅜ,ㅛ / ㅠ,ㄴ / ㄹ 받침,,,,,,,
,ㄷ 소리,ㅂ 소리,ㅊ 소리,ㅣ / ㅔ,ㅖ / ㅘ,ㅁ / ㅂ 받침,,,,,,,
,,ㅅ 소리,ㅋ/ㅌ/ㅍ/ㅎ,ㅐ / ㅒ,ㅙ / ㅚ,ㄷ / ㅅ 받침,,,,,,,
초급1,인사,자기소개,국적·언어,숫자,날짜·요일,시간 말하기,음식점 메뉴읽기,음식점 주문하기,장소 표현,길 찾기,기본 동사,현재 시제,조사 기초
,기본 인사,이름 말하기,나라 이름,고유어 수,요일,시/분 말하기,음식 이름,~주세요,여기/저기/거기,왼쪽/오른쪽,가다,~아요/어요,은/는
,인사 응답,나이 말하기,국적 말하기,한자어 수,날짜,몇 시예요?,메뉴 읽기,여기요,~에 있어요,직진/돌아가다,오다,명사+이에요/예요,이/가
,헤어질 때 인사,직업 말하기,언어 말하기,가격 말하기,생일 말하기,만나는 시간 말하기,매운/안 매운,계산하기,근처,~까지,먹다,질문 만들기,을/를
,존댓말 인사,친구 소개,어디에서 왔어요?,전화번호 말하기,시간 약속,버스/기차 시간,추천받기,포장하기,위치 묻기,길 묻기 대화,마시다,짧은 대화 만들기,어/어디/누구
,상황별 인사,자기소개 완성,~사람이에요,번호 묻기,일정 말하기,시간 묻고 답하기,맛 표현,주문 롤플레이,장소 설명,길 안내하기,보다,말하기 연습,단문회화 완성
초급2,확장 인사,자기소개 확장,국적·언어 확장,숫자 확장,날짜·요일 확장,시간 확장,음식 확장,음식점 상황 확장,장소 확장,길 찾기 확장,동사 확장,문법 확장,조사 확장
,안부 묻기,거주지 말하기,거주 국가,큰 수,주말·평일,하루 일과,음식 종류,주문 변경,공공장소,복합 길 안내,일상 동작,연결 표현,에/에서
,안부 응답,가족 소개,언어 수준 말하기,금액 계산,과거 날짜,소요 시간,재료,요청 표현,상점,거리 표현,학습·업무,이유 말하기,와/과
,공손한 표현,취미 말하기,언어 사용 상황,수량 표현,미래 날짜,빈도 표현,맛 상세 표현,불편 표현,건물 내부,교통 환승,의사소통,희망·계획,도/만
,전화 인사,관심사 말하기,문화 차이,횟수 말하기,기념일,시간 약속 조정,식사 상황,결제 방식,위치 설명 확장,길 확인,이동 확장,경험 표현,으로/로
,헤어질 때 확장,자기소개 확장,국적 관련 질문,숫자 질문,일정 조정,시간 관련 질문,음식 의견,식사 후 표현,장소 이용,길 묻기 정중,감정 동사,문장 확장,조사 종합
중급1,일상 확장,경험 말하기,의견 표현,감정·상태,관계·소통,일·학업,사회·일상 이슈,문법 핵심,표현 확장,,,,
,하루 일과 설명,~아/어 본 적 있다,의견 말하기,감정 표현,인간관계,직장 생활,생활 문제,이유·원인,정도 표현,,,,
,생활 변화,여행 경험,찬성·반대,상태 설명,부탁·요청,학교 생활,뉴스 기초,조건,빈도·강조,,,,
,생활 표현,문화 경험,장점·단점,스트레스,거절 표현,계획·목표,공공 서비스,의도·계획,순서 설명,,,,
,비교 표현,실수·문제 경험,선택 표현,기분 변화,,문제 해결,규칙·약속,추측,예시 들기,,,,
,,느낀 점,,공감 표현,,능력 평가,의무·권리,,요약 표현,,,,
중급2,의견 심화,사회 문제,업무·공식 상황,경험·사건 설명,추상 개념,논리 표현,뉴스·정보 이해,문법·표현 심화,,,,,
,의견 제시,사회 현상,업무 설명,사건 설명,가치·의미,원인·결과 연결,뉴스 어휘,~는 반면에,,,,,
,근거 말하기,환경,회의 표현,원인·결과,기준·원칙,조건·가정,통계·자료,~기 때문에,,,,,
,찬반 토론,인구·가족,요청·지시,문제 해결 과정,상태·정도,대조·양보,변화 설명,~에 비해,,,,,
,비교·대조,경제 기초,공식 이메일,교훈·배움,가능성·위험,추측·판단,사실·의견 구분,~는 편이다,,,,,
,결론 말하기,사회 변화,문제 상황 대응,평가하기,결정 요소,강조·완화,정보 요약,~다고 생각하다,,,,,
고급,추상적 사고,논리 전개,사회·공공 담화,학술·정보 텍스트,토론·발표,글쓰기·에세이,정확성·뉘앙스,관용·고급 표현,,,,,
,개념·의미,전개 구조,사회 구조,연구·조사,발표 구조,글의 구성,의미 차이,관용 표현,,,,,
,가치 판단,가정·조건,사회 문제,통계·수치,토론 표현,문체·어조,유의어,속담·격언,,,,,
,관점·시각,논증,정책·행정,객관적 표현,질문·응답,논설문,완화·강조,추상 관용,,,,,
,추상 동사,,공공 담론,출처·인용,청중 대응,설명문,정중·격식,담화 표현,,,,,
,개념 설명,,,,발언 조절,요약·비평,표현 조정,고급 연결어,,,,,
